property_id,prop_name,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,facilities_provided
587,1 Harmonis,1600,Gombak,Condominium,3,1,2,1100,Partially Furnished,Selangor,"Playground, Gymnasium, Jogging Track, Swimming Pool, Tennis Court, Security, Lift, Barbeque area, Minimart, Multipurpose hall"
1726,1 Petaling,1100,Sungai Besi,Condominium,3,1,2,904,Partially Furnished,Kuala Lumpur,"Swimming Pool, Security, Jogging Track, Multipurpose hall, Playground, Barbeque area, Gymnasium, Lift, Minimart, Air-Cond, Near KTM/LRT, Washing Machine"
1727,1 Razak Mansion,1350,Sungai Besi,Condominium,3,1,2,800,Fully Furnished,Kuala Lumpur,"Multipurpose hall, Lift, Air-Cond"
533,10 Semantan,1948,Damansara Heights,Service Residence,2,1,2,990,Fully Furnished,Kuala Lumpur,"Sauna, Security, Gymnasium, Minimart, Swimming Pool, Barbeque area, Lift, Playground, Air-Cond, Near KTM/LRT, Washing Machine"
805,10 Stonor,3200,KL City,Service Residence,2,1,2,801,Fully Furnished,Kuala Lumpur,"Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Air-Cond, Near KTM/LRT, Washing Machine"
1449,100 Residency,2900,Setapak,Condominium,4,1,3,1447,Fully Furnished,Kuala Lumpur,"Minimart, Tennis Court, Swimming Pool, Lift, Barbeque area, Security, Playground, Gymnasium, Squash Court, Sauna, Air-Cond, Washing Machine"
1018,28 Boulevard,1900,Pandan Perdana,Apartment,2,1,2,678,Fully Furnished,Kuala Lumpur,"Minimart, Security, Squash Court, Jogging Track, Lift, Tennis Court, Playground, Swimming Pool, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Air-Cond, Near KTM/LRT, Washing Machine"
1660,28 Dutamas,2500,Solaris Dutamas,Condominium,4,2,3,1500,Partially Furnished,Kuala Lumpur,"Gymnasium, Multipurpose hall, Playground, Swimming Pool, Security, Jogging Track, Lift, Air-Cond, Washing Machine"
932,28 Mont Kiara,13000,Mont Kiara,Condominium,4,3,4,3000,Fully Furnished,Kuala Lumpur,"Gymnasium, Playground, Swimming Pool, Sauna, Security, Barbeque area, Minimart, Lift, Multipurpose hall, Jogging Track, Club house, Air-Cond, Washing Machine"
911,288 Residences @ Kuchai Lama,1700,Kuchai Lama,Condominium,3,1,2,1215,Partially Furnished,Kuala Lumpur,"Minimart, Sauna, Multipurpose hall, Barbeque area, Playground, Security, Swimming Pool, Gymnasium, Lift, Air-Cond, Washing Machine"
1377,3 Elements,900,Seri Kembangan,Studio,1,1,1,530,Partially Furnished,Selangor,"Multipurpose hall, Gymnasium, Security, Swimming Pool, Playground, Barbeque area, Air-Cond"
1776,3 Residen,2600,Taman Melawati,Condominium,2,2,2,1206,Fully Furnished,Kuala Lumpur,"Minimart, Playground, Gymnasium, Swimming Pool, Security, Barbeque area, Sauna, Lift, Multipurpose hall, Air-Cond, Washing Machine"
88,3 Towers,1650,Ampang Hilir,Service Residence,1,1,1,440,Fully Furnished,Kuala Lumpur,"Swimming Pool, Gymnasium, Security, Barbeque area, Multipurpose hall, Lift, Air-Cond, Near KTM/LRT, Washing Machine"
89,325 Persiaran Ritchie,12000,Ampang Hilir,Condominium,6,2,5,4300,Fully Furnished,Kuala Lumpur,"Playground, Tennis Court, Squash Court, Jogging Track, Security, Swimming Pool, Gymnasium, Barbeque area, Sauna, Club house, Lift, Air-Cond, Near KTM/LRT, Washing Machine"
854,38 Bidara,1800,KLCC,Condominium,2,1,2,708,Fully Furnished,Kuala Lumpur,"Club house, Security, Minimart, Gymnasium, Sauna, Playground, Swimming Pool, Barbeque area, Air-Cond, Washing Machine, Near KTM/LRT"
1,6 CapSquare,3200,Ampang,Condominium,2,1,3,1432,Fully Furnished,Kuala Lumpur,"Barbeque area, Swimming Pool, Sauna, Gymnasium, Squash Court, Security, Playground, Lift, Multipurpose hall, Air-Cond, Near KTM/LRT, Washing Machine, Internet"
2,6 Ceylon,2300,Ampang,Condominium,1,1,1,696,Partially Furnished,Kuala Lumpur,"Barbeque area, Sauna, Gymnasium, Security, Jogging Track, Club house, Playground, Swimming Pool, Lift, Air-Cond, Washing Machine"
242,633 Residency,2200,Brickfields,Condominium,2,1,2,900,Fully Furnished,Kuala Lumpur,"Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall, Air-Cond, Near KTM/LRT, Washing Machine, Internet"
148,7 Tree Seven Residence,1200,Bandar Sungai Long,Condominium,3,2,2,1056,Partially Furnished,Selangor,"Security, Minimart, Multipurpose hall, Swimming Pool, Jogging Track, Playground, Air-Cond, Near KTM/LRT"
